










































MERCI d’avoir joué!






















































¡GRACIAS POR JUGAR!






















































DANKE FÜRS SPIELEN!!






















































GRAZIE PER AVER GIOCATO!!











!%John Beck<lf><lf><lf>
)@Programmers<lf>
!%Meagan Glaser<lf><lf><lf>
)@Quality Assurance Lead<lf>
)@Contributors<lf>
Shantae: Risky's Revenge Credits<lf><lf><lf><lf><lf><lf>
)@Lead Programmer<lf>
)@Additional Programmers<lf>
)@Lead Animators<lf>
!%Danny McGillick<lf>Randy van der Vlag<lf><lf><lf>
)@Pixel Modelers<lf>
)@Lead Background Artist<lf>
!&Dan Adleman<lf>Noriko Fritschle<lf>Shu Fujii<lf>Brickroad<lf>Chris Hoffman<lf>Nintendo Power<lf>Go Nintendo<lf>Nintendo Life<lf>Craig Harris<lf>IGN<lf>Carla Way<lf>Adriana Watson<lf>Ben Dorschner<lf>Stephan Schutze Sound Library<lf>Jimmy Huey<lf>Michael Stragey<lf>Brin and Luke<lf><lf><lf><lf><lf>and<lf><lf><lf><lf><lf> All WayForward Staff<lf><lf><lf><lf><lf><lf>
)&Shantae created by <lf>
!%Jake Kaufman<lf><lf><lf>
!%Paul Castillo<lf>Chris Engle<lf>Alex Ahad<lf>Robert Case<lf>Mariel Cartwright<lf>Jason Robinson<lf><lf><lf>
)@Consigliere<lf>
)@Technical Artist<lf>
!%Chris Losorelli<lf>Sean Velasco<lf>Adam Tierney<lf>Robb Alvey<lf>Mark Bozon<lf>Matthew Zitterman<lf>Ed Glaser<lf>Kristina Kaufman<lf><lf><lf>
!%Chris Watson<lf><lf><lf>
!%Sven Ruthner<lf>Jeremy Dower<lf><lf><lf>
)@Voice<lf>
!%Marc Gomez<lf>Rob Buchanan<lf><lf><lf>
!%Nick Wozniak<lf><lf><lf>
)@Additional Animation:<lf>
)@Quality Assurance Testers<lf>
!%Chris Anderson<lf>Josette Dziuk<lf>Nick Malouf<lf>Ryan Wright<lf>Steven Kitzes<lf>Kyle Sellers<lf>Joe Carlo<lf><lf><lf>
)@Executive Producer:<lf>
)@Directed and Produced by: <lf>
!%James Chan<lf><lf><lf>
!%Gustav Kilman<lf>Andrew Bado<lf><lf><lf><lf>
!%Henk Nieborg<lf><lf><lf>
!%Michael Flores<lf><lf><lf>
)@Tyrannical Overlord:<lf>
)@Level Design<lf>
)&Special Thanks:<lf><lf><lf>
!%Michael Clasgens<lf><lf><lf>
!%Jonathan Rucker<lf>Stephen Foot<lf><lf><lf>
)@Animators<lf>
)@Illustrations<lf>
!%Matt Bozon<lf><lf><lf>
)@Engine and Tools<lf>
)@Audio Guy<lf>
THANKS FOR PLAYING!!
!%Aric Dorschner<lf>Ian Small<lf><lf><lf>
!%Adam Kasper<lf>Adam Lutz<lf>George Matthews<lf>Larry Holdaway<lf>Robert Koshak<lf><lf><lf>
)@Technical Director:<lf>
!%Chris Kerlegon<lf>Joakim Sandberg<lf>Paul Robertson<lf>Eunhi Oh<lf><lf><lf><lf>
!%James Montagna<lf><lf><lf><lf>
!%Shannon Hatakeda<lf>Andy Crim<lf><lf><lf>
!&Matt and Erin Bozon<lf><lf><lf><lf>
)&Developed by WayForward <lf><lf><lf>
!%Voldi Way<lf><lf><lf>
)@Additional Background Art<lf>
)@Production Assistants<lf>
